api_name,api_desc,api_package_link
android,"Contains resource classes used by applications included in the platform and defines application
permissions for system features.",https://developer.android.com/reference/android/package-summary.html
android.accessibilityservice,"The classes in this package are used for development of accessibility service that
  provide alternative or augmented feedback to the user.",https://developer.android.com/reference/android/accessibilityservice/package-summary.html
android.accounts,,https://developer.android.com/reference/android/accounts/package-summary.html
android.animation,"These classes provide functionality for the property animation system, which allows you 
to animate object properties of any type. int, float, and hexadecimal
color values are supported by default. You can animate any other type by telling the system how
to calculate the values for that given type with a custom TypeEvaluator. For more information, see the
Animation guide.",https://developer.android.com/reference/android/animation/package-summary.html https://developer.android.com/reference/android/animation/TypeEvaluator.html https://developer.android.com/guide/topics/graphics/prop-animation.html
android.annotation,,https://developer.android.com/reference/android/annotation/package-summary.html
android.app,Contains high-level classes encapsulating the overall Android application model.,https://developer.android.com/reference/android/app/package-summary.html
android.app.admin,"Provides device administration features at the system level, allowing you to create
security-aware applications that are useful in enterprise settings, in which IT professionals
require rich control over employee devices. For more information, see the
Device Administration 
guide.",https://developer.android.com/reference/android/app/admin/package-summary.html https://developer.android.com/guide/topics/admin/device-admin.html
android.app.assist,,https://developer.android.com/reference/android/app/assist/package-summary.html
android.app.backup,"Contains the backup and restore functionality available to
applications. If a user wipes the data on their device or upgrades to a new Android-powered
device, all applications that have enabled backup can restore the user's previous data when the
application is reinstalled. For more information, see the Data Backup guide.",https://developer.android.com/reference/android/app/backup/package-summary.html https://developer.android.com/guide/topics/data/backup.html
android.app.job,,https://developer.android.com/reference/android/app/job/package-summary.html
android.app.slice,,https://developer.android.com/reference/android/app/slice/package-summary.html
android.app.usage,,https://developer.android.com/reference/android/app/usage/package-summary.html
android.appwidget,"Contains the components necessary to create ""app widgets"", which users can embed in other
applications (such as the home screen) to quickly access application data and services without
launching a new activity. For more information, see the
App Widgets guide.",https://developer.android.com/reference/android/appwidget/package-summary.html https://developer.android.com/guide/topics/appwidgets/index.html
