Question.Answer
"Android","Android is an open-source. Linux-based operating system used in mobiles. tablets. televisions. etc."
founder_Android?,Andy Rubin.
"application Architecture","Following is a list of components of Android application architecture: Used to perform background functionalities.
Used to perform the interconnection between activities and the data passing mechanism.Resource Externalization:strings and graphics.Notification: light. sound. icon. notification. dialog box and toast.Content Providers: It will share the data between applications."
"code names","Aestro
Blender
Cupcake
Donut
Eclair
Froyo
Gingerbread
Honeycomb
Ice Cream Sandwich
Jelly Bean
KitKat
Lollipop
Marshmallow"
advantages_Android,"Open-source: It means no license. distribution and development fee."
"languages support","An android app can be developed in Java. C/C++ also using android NDK (Native Development Kit). It makes the performance faster. It should be used with Android SDK."
"core building blocks","The core building blocks of Android are:     Activity
View
Intent
Service
Content Provider
Fragment etc. "
"activity","Activity is like a frame or window in java that represents GUI. It represents one screen of android."
"life cycle methods of activity","There are 7 life-cycle methods of activity. They are as follows: onCreate()
onStart()
onResume()
onPause()
onStop()
onRestart()
onDestroy()"
"intent","It is a kind of message or information that is passed to the components. It is used to launch an activity. display a web page. send SMS. send email. etc. There are two types of intents in android: Implicit Intent and Explicit Intent
"Android toast","An android toast provides feedback to the users about the operation being performed by them. It displays the message regarding the status of operation initiated by the user."
"explicit intent","An explicit intent is used to invoke the activity class."
service android,"A service is a component that runs in the background. It is used to play music. handle network transaction. etc."
AAPT,AAPT is an acronym for android asset packaging tool. It handles the packaging process.
content provider,A content provider is used to share information between Android applications.
fragment,The fragment is a part of Activity by which we can display multiple screens on one activity.
ADB,ADB stands for Android Debug Bridge. It is a command line tool that is used to communicate with the emulator instance.
NDK,"NDK stands for Native Development Kit. By using NDK. you can develop a part of an app using native language such as C/C++ to boost the performance."
ANR,ANR stands for Application Not Responding. It is a dialog box that appears if the application is no longer responding.
APK format,"APK is a short form stands for Android Packaging Key. It is a compressed key with classes. UI's. supportive assets and manifest. All files are compressed to a single file is called APK."
language support,Android applications are written by using the java (Android SDK) and C/C++ (Android NDK).
ADT,ADT stands for Android Development Tool. It is used to develop the applications and test the applications.
View Group,View Group is a collection of views and other child views. It is an invisible part and the base class for layouts.
Adapter,An adapter is used to create a child view to present the parent view items.
kernel,Android is a customized Linux 3.6 kernel.
application Widgets,Application widgets are miniature application views that can be embedded in other applications and receive periodic updates.
singleton class,A singleton class is a class which can create only an object that can be shared by all other classes.
sleep mode,"In sleep mode. CPU is slept and doesn't accept any commands from android device except Radio interface layer and alarm."
DDMS,"DDMS stands for Dalvik Debug Monitor Server. It gives the wide array of debugging features: Port forwarding services
Screen capture
Thread and heap information 
Network traffic tracking
Location data spoofing"
Android Architecture,"The Android architecture consists of 4 components: Linux Kernal
Libraries 
Android Framework 
Android Applications"
portable wi-fi hotspot,The portable wi-fi hotspot is used to share internet connection to other wireless devices.
dialog box,"Alert Dialog
Progress Dialog
Date Picker Dialog
Time picker Dialog"
exceptions,"Inflate Exception
Surface.OutOfResourceException
SurfaceHolder.BadSurfaceTypeException
WindowManager.BadTokenException"
tools ,"JDK
Eclipse+ADT plugin 
SDK Tools".
