classes,class_desc
AbsListView,Base class that can be used to implement virtualized lists of items.
AbsListView.LayoutParams,AbsListView extends LayoutParams to provide a place to hold the view type.
AbsListView.MultiChoiceModeListener,A MultiChoiceModeListener receives events for AbsListView.CHOICE_MODE_MULTIPLE_MODAL.
AbsListView.OnScrollListener,"Interface definition for a callback to be invoked when the list or grid
 has been scrolled."
AbsListView.RecyclerListener,"A RecyclerListener is used to receive a notification whenever a View is placed
 inside the RecycleBin's scrap heap."
AbsListView.SelectionBoundsAdjuster,"The top-level view of a list item can implement this interface to allow
 itself to modify the bounds of the selection shown for that item."
AbsoluteLayout,"This class was deprecated
      in API level 3.
    Use FrameLayout, RelativeLayout
             or a custom layout instead."
AbsoluteLayout.LayoutParams,Per-child layout information associated with AbsoluteLayout.
AbsoluteSizeSpan,A span that changes the size of the text it's attached to.
AbsSavedState,"A Parcelable implementation that should be used by inheritance
 hierarchies to ensure the state of all classes along the chain is saved."
AbsSeekBar,AbsSeekBar extends the capabilities of ProgressBar by adding a draggable thumb.
AbsSpinner,An abstract base class for spinner widgets.
AbstractAccountAuthenticator,Abstract base class for creating AccountAuthenticators.
AbstractChronology,"An abstract implementation of a calendar system, used to organize and identify dates."
AbstractCollection<E>,"This class provides a skeletal implementation of the Collection
 interface, to minimize the effort required to implement this interface."
AbstractCursor,"This is an abstract cursor class that handles a lot of the common code
 that all cursors need to deal with and is provided for convenience reasons."
AbstractCursor.SelfContentObserver,Cursors use this class to track changes others make to their URI.
AbstractExecutorService,"Provides default implementations of ExecutorService
 execution methods."
AbstractInputMethodService,AbstractInputMethodService provides a abstract base class for input methods.
AbstractInputMethodService.AbstractInputMethodImpl,"Base class for derived classes to implement their InputMethod
 interface."
AbstractInputMethodService.AbstractInputMethodSessionImpl,"Base class for derived classes to implement their InputMethodSession
 interface."
AbstractInterruptibleChannel,Base implementation class for interruptible channels.
AbstractList<E>,"This class provides a skeletal implementation of the List
 interface to minimize the effort required to implement this interface
 backed by a ""random access"" data store (such as an array)."
"AbstractMap<K, V>","This class provides a skeletal implementation of the Map
 interface, to minimize the effort required to implement this interface."
"AbstractMap.SimpleEntry<K, V>",An Entry maintaining a key and a value.
"AbstractMap.SimpleImmutableEntry<K, V>",An Entry maintaining an immutable key and value.
AbstractMethodError,Thrown when an application tries to call an abstract method.
AbstractOwnableSynchronizer,A synchronizer that may be exclusively owned by a thread.
AbstractPreferences,"This class provides a skeletal implementation of the Preferences
 class, greatly easing the task of implementing it."
AbstractQueue<E>,"This class provides skeletal implementations of some Queue
 operations."
AbstractQueuedLongSynchronizer,"A version of AbstractQueuedSynchronizer in
 which synchronization state is maintained as a long."
AbstractQueuedLongSynchronizer.ConditionObject,Condition implementation for a AbstractQueuedLongSynchronizer serving as the basis of a Lock implementation.
AbstractQueuedSynchronizer,"Provides a framework for implementing blocking locks and related
 synchronizers (semaphores, events, etc) that rely on
 first-in-first-out (FIFO) wait queues."
AbstractQueuedSynchronizer.ConditionObject,Condition implementation for a AbstractQueuedSynchronizer serving as the basis of a Lock implementation.
AbstractSelectableChannel,Base implementation class for selectable channels.
AbstractSelectionKey,Base implementation class for selection keys.
AbstractSelector,Base implementation class for selectors.
AbstractSequentialList<E>,"This class provides a skeletal implementation of the List
 interface to minimize the effort required to implement this interface
 backed by a ""sequential access"" data store (such as a linked list)."
AbstractSet<E>,"This class provides a skeletal implementation of the Set
 interface to minimize the effort required to implement this
 interface."
AbstractThreadedSyncAdapter,An abstract implementation of a SyncAdapter that spawns a thread to invoke a sync operation.
AbstractVerifier,"This class was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
AbstractWindowedCursor,A base class for Cursors that store their data in CursorWindows.
AccelerateDecelerateInterpolator,"An interpolator where the rate of change starts and ends slowly but
 accelerates through the middle."
AccelerateInterpolator,"An interpolator where the rate of change starts out slowly and
 and then accelerates."
AcceptPendingException,"Unchecked exception thrown when an attempt is made to initiate an accept
 operation on a channel and a previous accept operation has not completed."
AccessControlContext,Legacy security code; do not use.
AccessControlException,"This exception is thrown by the AccessController to indicate
 that a requested access (to a critical system resource such as the
 file system or the network) is denied."
AccessController,Legacy security code; do not use.
AccessDeniedException,"Checked exception thrown when a file system operation is denied, typically
 due to a file permission or other access check."
AccessibilityButtonController,"Controller for the accessibility button within the system's navigation area
 
 This class may be used to query the accessibility button's state and register
 callbacks for interactions with and state changes to the accessibility button when
 AccessibilityServiceInfo.FLAG_REQUEST_ACCESSIBILITY_BUTTON is set."
AccessibilityButtonController.AccessibilityButtonCallback,"Callback for interaction with and changes to state of the accessibility button
 within the system's navigation area."
AccessibilityEvent,"This class represents accessibility events that are sent by the system when
 something notable happens in the user interface."
AccessibilityEventSource,This interface is implemented by classes source of AccessibilityEvents.
AccessibilityManager,"System level service that serves as an event dispatch for AccessibilityEvents,
 and provides facilities for querying the accessibility state of the system."
AccessibilityManager.AccessibilityStateChangeListener,Listener for the system accessibility state.
AccessibilityManager.TouchExplorationStateChangeListener,Listener for the system touch exploration state.
AccessibilityNodeInfo,"This class represents a node of the window content as well as actions that
 can be requested from its source."
AccessibilityNodeInfo.AccessibilityAction,A class defining an action that can be performed on an AccessibilityNodeInfo.
AccessibilityNodeInfo.CollectionInfo,Class with information if a node is a collection.
AccessibilityNodeInfo.CollectionItemInfo,Class with information if a node is a collection item.
AccessibilityNodeInfo.RangeInfo,Class with information if a node is a range.
AccessibilityNodeProvider,"This class is the contract a client should implement to enable support of a
 virtual view hierarchy rooted at a given view for accessibility purposes."
AccessibilityRecord,"Represents a record in an AccessibilityEvent and contains information
 about state change of its source View."
AccessibilityRequestPreparer,"Object responsible to ensuring that a View is prepared to meet a synchronous request for
 accessibility data."
AccessibilityService,"Accessibility services should only be used to assist users with disabilities in using
 Android devices and apps."
AccessibilityService.GestureResultCallback,Class used to report status of dispatched gestures
AccessibilityService.MagnificationController,Used to control and query the state of display magnification.
AccessibilityService.MagnificationController.OnMagnificationChangedListener,Listener for changes in the state of magnification.
AccessibilityService.SoftKeyboardController,Used to control and query the soft keyboard show mode.
AccessibilityService.SoftKeyboardController.OnShowModeChangedListener,Listener for changes in the soft keyboard show mode.
AccessibilityServiceInfo,This class describes an AccessibilityService.
AccessibilityWindowInfo,"This class represents a state snapshot of a window for accessibility
 purposes."
AccessibleObject,"The AccessibleObject class is the base class for Field, Method and
 Constructor objects."
AccessMode,Defines access modes used to test the accessibility of a file.
AccessNetworkConstants,Contains access network related constants.
AccessNetworkConstants.AccessNetworkType,
AccessNetworkConstants.EutranBand,Frenquency bands for EUTRAN.
AccessNetworkConstants.GeranBand,Frenquency bands for GERAN.
AccessNetworkConstants.UtranBand,Frenquency bands for UTRAN.
Account,Value type that represents an Account in the AccountManager.
AccountAuthenticatorActivity,"Base class for implementing an Activity that is used to help implement an
 AbstractAccountAuthenticator."
AccountAuthenticatorResponse,Object used to communicate responses back to the AccountManager
AccountManager,"This class provides access to a centralized registry of the user's
 online accounts."
AccountManagerCallback<V>,
AccountManagerFuture<V>,"A AccountManagerFuture represents the result of an asynchronous
 AccountManager call."
AccountsException,
Acl,Interface representing an Access Control List (ACL).
AclEntry,An entry in an access control list (ACL).
AclEntry,"This is the interface used for representing one entry in an Access
 Control List (ACL)."
AclEntry.Builder,A builder of AclEntry objects.
AclEntryFlag,Defines the flags for used by the flags component of an ACL entry.
AclEntryPermission,"Defines the permissions for use with the permissions component of an ACL
 entry."
AclEntryType,A typesafe enumeration of the access control entry types.
AclFileAttributeView,"A file attribute view that supports reading or updating a file's Access
 Control Lists (ACL) or file owner attributes."
AclNotFoundException,"This is an exception that is thrown whenever a reference is made to a
 non-existent ACL (Access Control List)."
AcousticEchoCanceler,Acoustic Echo Canceler (AEC).
ActionBar,"A primary toolbar within the activity that may display the activity title, application-level
 navigation affordances, and other interactive items."
ActionBar.LayoutParams,Per-child layout information associated with action bar custom views.
ActionBar.OnMenuVisibilityListener,Listener for receiving events when action bar menus are shown or hidden.
ActionBar.OnNavigationListener,"This interface was deprecated
      in API level 21.
    Action bar navigation modes are deprecated and not supported by inline
 toolbar action bars. Consider using other
 common
 navigation patterns instead."
ActionBar.Tab,"This class was deprecated
      in API level 21.
    Action bar navigation modes are deprecated and not supported by inline
 toolbar action bars. Consider using other
 common
 navigation patterns instead."
